Amy Klobuchar,F,Amy for America,C00696419
Andrew Yang,M,Friends of Andrew Yang,C00659938
Bernie Sanders,M,Bernie 2020,C00696948
Beto O'Rourke,M,Beto for America,C00699090
Cory Booker,M,Cory 2020,C00695510
Elizabeth Warren,F,Warren for President,C00693234
Jay Inslee,M,Inslee for America,C00698050
John Delaney,M,Friends of John Delaney,C00508416
John Hickenlooper,M,Hickenlooper 2020,C00698258
Julián Castro,M,Julián for the Future,C00693044
Kamala Harris,F,Kamala Harris for the People,C00694455
Kirsten Gillibrand,F,Gillibrand 2020,C00694018
Pete Buttigieg,M,Pete for America,C00697441
Tulsi Gabbard,F,Tulsi Now,C00693713
Wayne Messam,M,Wayne Messam for America,C00699280